date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase,no_stopwords,tokens,lemmatized_tokens,processed_text,sentiment,sentiment_encoded
,Maintain body push process rate occur.,energy gas teacher national weight all involve trip himself fire heavy least computer process single those clearly issue fine,1,khart,130,125,Google Play,en,Macedonia,5.3.5,No,energy gas teacher national weight involve trip fire heavy least computer process single clearly issue fine,"['energy', 'gas', 'teacher', 'national', 'weight', 'involve', 'trip', 'fire', 'heavy', 'least', 'computer', 'process', 'single', 'clearly', 'issue', 'fine']","['energy', 'gas', 'teacher', 'national', 'weight', 'involve', 'trip', 'fire', 'heavy', 'least', 'computer', 'process', 'single', 'clearly', 'issue', 'fine']",energy gas teacher national weight involve trip fire heavy least computer process single clearly issue fine,Negative,0
,Also price institution method inside after.,enjoy opportunity help put short expect article opportunity campaign hand special agree through game best generation group goal product easy possible or travel assume figure front after,2,uchapman,60,185,Google Play,en,Honduras,3.3.2,Yes,enjoy opportunity help put short expect article opportunity campaign hand special agree game best generation group goal product easy possible travel assume figure front,"['enjoy', 'opportunity', 'help', 'put', 'short', 'expect', 'article', 'opportunity', 'campaign', 'hand', 'special', 'agree', 'game', 'best', 'generation', 'group', 'goal', 'product', 'easy', 'possible', 'travel', 'assume', 'figure', 'front']","['enjoy', 'opportunity', 'help', 'put', 'short', 'expect', 'article', 'opportunity', 'campaign', 'hand', 'special', 'agree', 'game', 'best', 'generation', 'group', 'goal', 'product', 'easy', 'possible', 'travel', 'assume', 'figure', 'front']",enjoy opportunity help put short expect article opportunity campaign hand special agree game best generation group goal product easy possible travel assume figure front,Negative,0
,Behind front attack song little decide somebody prepare.,follow best major real day market specific property coach federal cut player wind away sure degree enter father of source person when response,1,william46,45,142,App Store,en,Panama,5.9.7,No,follow best major real day market specific property coach federal cut player wind away sure degree enter father source person response,"['follow', 'best', 'major', 'real', 'day', 'market', 'specific', 'property', 'coach', 'federal', 'cut', 'player', 'wind', 'away', 'sure', 'degree', 'enter', 'father', 'source', 'person', 'response']","['follow', 'best', 'major', 'real', 'day', 'market', 'specific', 'property', 'coach', 'federal', 'cut', 'player', 'wind', 'away', 'sure', 'degree', 'enter', 'father', 'source', 'person', 'response']",follow best major real day market specific property coach federal cut player wind away sure degree enter father source person response,Negative,0
2025-09-07,Mission hair challenge character.,customer i person law shake congress affect reflect television officer produce station visit environmental point speak table trade various risk,3,megan65,38,143,App Store,en,Tokelau,4.7.4,No,customer person law shake congress affect reflect television officer produce station visit environmental point speak table trade various risk,"['customer', 'person', 'law', 'shake', 'congress', 'affect', 'reflect', 'television', 'officer', 'produce', 'station', 'visit', 'environmental', 'point', 'speak', 'table', 'trade', 'various', 'risk']","['customer', 'person', 'law', 'shake', 'congress', 'affect', 'reflect', 'television', 'officer', 'produce', 'station', 'visit', 'environmental', 'point', 'speak', 'table', 'trade', 'various', 'risk']",customer person law shake congress affect reflect television officer produce station visit environmental point speak table trade various risk,Neutral,1
,Evening ahead smile everyone.,plant suffer environment expert civil rather image box court early still less nice job positive already,5,dawnwilliams,14,103,Amazon,en,Saint Helena,1.4.7,No,plant suffer environment expert civil rather image box court early still less nice job positive already,"['plant', 'suffer', 'environment', 'expert', 'civil', 'rather', 'image', 'box', 'court', 'early', 'still', 'less', 'nice', 'job', 'positive', 'already']","['plant', 'suffer', 'environment', 'expert', 'civil', 'rather', 'image', 'box', 'court', 'early', 'still', 'less', 'nice', 'job', 'positive', 'already']",plant suffer environment expert civil rather image box court early still less nice job positive already,Positive,2
,Edge this draw business southern forget once.,area to finish fear as western public though however style successful door number matter building professional oil simple,1,vshaffer,14,121,Amazon,en,Dominica,1.1.9,No,area finish fear western public though however style successful door number matter building professional oil simple,"['area', 'finish', 'fear', 'western', 'public', 'though', 'however', 'style', 'successful', 'door', 'number', 'matter', 'building', 'professional', 'oil', 'simple']","['area', 'finish', 'fear', 'western', 'public', 'though', 'however', 'style', 'successful', 'door', 'number', 'matter', 'building', 'professional', 'oil', 'simple']",area finish fear western public though however style successful door number matter building professional oil simple,Negative,0
,Education his police red total.,design blood degree ever impact television argue mouth record both nation radio white these view guy resource start again whom paper success production wait real,4,nicholsjoel,148,161,Website,en,Kenya,4.9.3,No,design blood degree ever impact television argue mouth record nation radio white view guy resource start paper success production wait real,"['design', 'blood', 'degree', 'ever', 'impact', 'television', 'argue', 'mouth', 'record', 'nation', 'radio', 'white', 'view', 'guy', 'resource', 'start', 'paper', 'success', 'production', 'wait', 'real']","['design', 'blood', 'degree', 'ever', 'impact', 'television', 'argue', 'mouth', 'record', 'nation', 'radio', 'white', 'view', 'guy', 'resource', 'start', 'paper', 'success', 'production', 'wait', 'real']",design blood degree ever impact television argue mouth record nation radio white view guy resource start paper success production wait real,Positive,2
,Likely include subject response theory star station.,travel hotel within eight bed state father teacher civil keep first speech popular smile ever bag,5,william56,121,97,Website,en,Netherlands Antilles,1.7.1,No,travel hotel within eight bed state father teacher civil keep first speech popular smile ever bag,"['travel', 'hotel', 'within', 'eight', 'bed', 'state', 'father', 'teacher', 'civil', 'keep', 'first', 'speech', 'popular', 'smile', 'ever', 'bag']","['travel', 'hotel', 'within', 'eight', 'bed', 'state', 'father', 'teacher', 'civil', 'keep', 'first', 'speech', 'popular', 'smile', 'ever', 'bag']",travel hotel within eight bed state father teacher civil keep first speech popular smile ever bag,Positive,2
,Consider then war this difference way.,scene law agree appear political picture social carry husband pick finish bank citizen require should power candidate order improve vote later them card community or foreign example base,1,rebeccamccann,129,186,Flipkart,en,Congo,2.7.7,Yes,scene law agree appear political picture social carry husband pick finish bank citizen require power candidate order improve vote later card community foreign example base,"['scene', 'law', 'agree', 'appear', 'political', 'picture', 'social', 'carry', 'husband', 'pick', 'finish', 'bank', 'citizen', 'require', 'power', 'candidate', 'order', 'improve', 'vote', 'later', 'card', 'community', 'foreign', 'example', 'base']","['scene', 'law', 'agree', 'appear', 'political', 'picture', 'social', 'carry', 'husband', 'pick', 'finish', 'bank', 'citizen', 'require', 'power', 'candidate', 'order', 'improve', 'vote', 'later', 'card', 'community', 'foreign', 'example', 'base']",scene law agree appear political picture social carry husband pick finish bank citizen require power candidate order improve vote later card community foreign example base,Negative,0
,Risk country Congress society agreement.,anyone peace outside chance when color note add itself turn law purpose budget require course technology site explain management candidate task outside yet,3,joe73,95,155,Amazon,en,Heard Island and McDonald Islands,4.5.9,Yes,anyone peace outside chance color note add turn law purpose budget require course technology site explain management candidate task outside yet,"['anyone', 'peace', 'outside', 'chance', 'color', 'note', 'add', 'turn', 'law', 'purpose', 'budget', 'require', 'course', 'technology', 'site', 'explain', 'management', 'candidate', 'task', 'outside', 'yet']","['anyone', 'peace', 'outside', 'chance', 'color', 'note', 'add', 'turn', 'law', 'purpose', 'budget', 'require', 'course', 'technology', 'site', 'explain', 'management', 'candidate', 'task', 'outside', 'yet']",anyone peace outside chance color note add turn law purpose budget require course technology site explain management candidate task outside yet,Neutral,1
,Accept mean herself.,beat light the window huge defense himself interest others authority news four dog traditional you vote whose our,3,ilambert,16,113,Amazon,en,Uganda,5.6.4,No,beat light window huge defense interest others authority news four dog traditional vote whose,"['beat', 'light', 'window', 'huge', 'defense', 'interest', 'others', 'authority', 'news', 'four', 'dog', 'traditional', 'vote', 'whose']","['beat', 'light', 'window', 'huge', 'defense', 'interest', 'others', 'authority', 'news', 'four', 'dog', 'traditional', 'vote', 'whose']",beat light window huge defense interest others authority news four dog traditional vote whose,Neutral,1
,Might job close say man.,oil employee mean us there car report item employee finish without material wind exactly guess involve total enjoy,5,angelalivingston,38,114,Amazon,en,Norfolk Island,5.2.5,No,oil employee mean us car report item employee finish without material wind exactly guess involve total enjoy,"['oil', 'employee', 'mean', 'us', 'car', 'report', 'item', 'employee', 'finish', 'without', 'material', 'wind', 'exactly', 'guess', 'involve', 'total', 'enjoy']","['oil', 'employee', 'mean', 'u', 'car', 'report', 'item', 'employee', 'finish', 'without', 'material', 'wind', 'exactly', 'guess', 'involve', 'total', 'enjoy']",oil employee mean u car report item employee finish without material wind exactly guess involve total enjoy,Positive,2
2025-04-01,Short Congress turn east marriage behind forget.,apply chance discover along employee relationship job yet until american ground magazine manage suffer term buy behavior test congress collection meet evening through one on will,4,erin16,33,178,Website,en,Holy See (Vatican City State),3.8.6,No,apply chance discover along employee relationship job yet american ground magazine manage suffer term buy behavior test congress collection meet evening one,"['apply', 'chance', 'discover', 'along', 'employee', 'relationship', 'job', 'yet', 'american', 'ground', 'magazine', 'manage', 'suffer', 'term', 'buy', 'behavior', 'test', 'congress', 'collection', 'meet', 'evening', 'one']","['apply', 'chance', 'discover', 'along', 'employee', 'relationship', 'job', 'yet', 'american', 'ground', 'magazine', 'manage', 'suffer', 'term', 'buy', 'behavior', 'test', 'congress', 'collection', 'meet', 'evening', 'one']",apply chance discover along employee relationship job yet american ground magazine manage suffer term buy behavior test congress collection meet evening one,Positive,2
,High human concern whole tend become system clear.,student child ball store process law western price forget analysis performance laugh water yourself trade someone can tell soon executive sometimes season natural,2,wmitchell,171,162,Website,en,Zimbabwe,4.8.5,Yes,student child ball store process law western price forget analysis performance laugh water trade someone tell soon executive sometimes season natural,"['student', 'child', 'ball', 'store', 'process', 'law', 'western', 'price', 'forget', 'analysis', 'performance', 'laugh', 'water', 'trade', 'someone', 'tell', 'soon', 'executive', 'sometimes', 'season', 'natural']","['student', 'child', 'ball', 'store', 'process', 'law', 'western', 'price', 'forget', 'analysis', 'performance', 'laugh', 'water', 'trade', 'someone', 'tell', 'soon', 'executive', 'sometimes', 'season', 'natural']",student child ball store process law western price forget analysis performance laugh water trade someone tell soon executive sometimes season natural,Negative,0
,Pass its international American game less.,building make it south financial rate capital story mention majority those live none institution series,3,deborahreeves,79,103,Flipkart,en,Venezuela,3.7.3,Yes,building make south financial rate capital story mention majority live none institution series,"['building', 'make', 'south', 'financial', 'rate', 'capital', 'story', 'mention', 'majority', 'live', 'none', 'institution', 'series']","['building', 'make', 'south', 'financial', 'rate', 'capital', 'story', 'mention', 'majority', 'live', 'none', 'institution', 'series']",building make south financial rate capital story mention majority live none institution series,Neutral,1
2024-04-08,Green one shoulder administration scientist.,picture modern fact join trade local chance campaign total success mission far necessary true message member including let result,2,lwhite,39,129,Google Play,en,Tajikistan,1.8.8,Yes,picture modern fact join trade local chance campaign total success mission far necessary true message member including let result,"['picture', 'modern', 'fact', 'join', 'trade', 'local', 'chance', 'campaign', 'total', 'success', 'mission', 'far', 'necessary', 'true', 'message', 'member', 'including', 'let', 'result']","['picture', 'modern', 'fact', 'join', 'trade', 'local', 'chance', 'campaign', 'total', 'success', 'mission', 'far', 'necessary', 'true', 'message', 'member', 'including', 'let', 'result']",picture modern fact join trade local chance campaign total success mission far necessary true message member including let result,Negative,0
,Rise field spend pattern real white push source.,bar theory fear onto lawyer prove space game truth special decision back word else pull its adult house actually pretty least if,3,martinezalexander,196,128,Website,en,Bouvet Island (Bouvetoya),5.6.2,Yes,bar theory fear onto lawyer prove space game truth special decision back word else pull adult house actually pretty least,"['bar', 'theory', 'fear', 'onto', 'lawyer', 'prove', 'space', 'game', 'truth', 'special', 'decision', 'back', 'word', 'else', 'pull', 'adult', 'house', 'actually', 'pretty', 'least']","['bar', 'theory', 'fear', 'onto', 'lawyer', 'prove', 'space', 'game', 'truth', 'special', 'decision', 'back', 'word', 'else', 'pull', 'adult', 'house', 'actually', 'pretty', 'least']",bar theory fear onto lawyer prove space game truth special decision back word else pull adult house actually pretty least,Neutral,1
2025-05-01,Anything account piece require woman support.,receive could agree loss certain drop teach mrs beat show challenge instead bring total school knowledge machine after last drug far stop,2,benjamin67,177,137,Website,en,Malawi,4.0.6,No,receive could agree loss certain drop teach mrs beat show challenge instead bring total school knowledge machine last drug far stop,"['receive', 'could', 'agree', 'loss', 'certain', 'drop', 'teach', 'mrs', 'beat', 'show', 'challenge', 'instead', 'bring', 'total', 'school', 'knowledge', 'machine', 'last', 'drug', 'far', 'stop']","['receive', 'could', 'agree', 'loss', 'certain', 'drop', 'teach', 'mr', 'beat', 'show', 'challenge', 'instead', 'bring', 'total', 'school', 'knowledge', 'machine', 'last', 'drug', 'far', 'stop']",receive could agree loss certain drop teach mr beat show challenge instead bring total school knowledge machine last drug far stop,Negative,0
,Capital fall represent where strategy pull same.,very toward test discussion art affect office network environmental possible threat bring performance large job claim risk light just medical onto rate two table resource,2,kmarsh,113,170,Website,en,Niger,4.3.8,Yes,toward test discussion art affect office network environmental possible threat bring performance large job claim risk light medical onto rate two table resource,"['toward', 'test', 'discussion', 'art', 'affect', 'office', 'network', 'environmental', 'possible', 'threat', 'bring', 'performance', 'large', 'job', 'claim', 'risk', 'light', 'medical', 'onto', 'rate', 'two', 'table', 'resource']","['toward', 'test', 'discussion', 'art', 'affect', 'office', 'network', 'environmental', 'possible', 'threat', 'bring', 'performance', 'large', 'job', 'claim', 'risk', 'light', 'medical', 'onto', 'rate', 'two', 'table', 'resource']",toward test discussion art affect office network environmental possible threat bring performance large job claim risk light medical onto rate two table resource,Negative,0
,Box dinner no main year size.,real beat lot community choose man soldier wall management decide another adult thing ground city still thus allow as,3,carrilloangela,200,117,App Store,en,Ukraine,3.9.7,No,real beat lot community choose man soldier wall management decide another adult thing ground city still thus allow,"['real', 'beat', 'lot', 'community', 'choose', 'man', 'soldier', 'wall', 'management', 'decide', 'another', 'adult', 'thing', 'ground', 'city', 'still', 'thus', 'allow']","['real', 'beat', 'lot', 'community', 'choose', 'man', 'soldier', 'wall', 'management', 'decide', 'another', 'adult', 'thing', 'ground', 'city', 'still', 'thus', 'allow']",real beat lot community choose man soldier wall management decide another adult thing ground city still thus allow,Neutral,1
,Wide shoulder according strong list expert.,page bit anyone watch sometimes while sense window sit participant teach big among black picture that treat church factor kid media run between positive free case summer,3,christopherwatson,199,169,App Store,en,Saudi Arabia,5.6.2,Yes,page bit anyone watch sometimes sense window sit participant teach big among black picture treat church factor kid media run positive free case summer,"['page', 'bit', 'anyone', 'watch', 'sometimes', 'sense', 'window', 'sit', 'participant', 'teach', 'big', 'among', 'black', 'picture', 'treat', 'church', 'factor', 'kid', 'media', 'run', 'positive', 'free', 'case', 'summer']","['page', 'bit', 'anyone', 'watch', 'sometimes', 'sense', 'window', 'sit', 'participant', 'teach', 'big', 'among', 'black', 'picture', 'treat', 'church', 'factor', 'kid', 'medium', 'run', 'positive', 'free', 'case', 'summer']",page bit anyone watch sometimes sense window sit participant teach big among black picture treat church factor kid medium run positive free case summer,Neutral,1
2025-07-07,Around place require produce mind fast I.,picture early send morning skin case investment truth together weight some gun ahead certainly act south want be fire word clearly article service produce political,5,jennifer55,35,164,Amazon,en,Algeria,4.5.8,Yes,picture early send morning skin case investment truth together weight gun ahead certainly act south want fire word clearly article service produce political,"['picture', 'early', 'send', 'morning', 'skin', 'case', 'investment', 'truth', 'together', 'weight', 'gun', 'ahead', 'certainly', 'act', 'south', 'want', 'fire', 'word', 'clearly', 'article', 'service', 'produce', 'political']","['picture', 'early', 'send', 'morning', 'skin', 'case', 'investment', 'truth', 'together', 'weight', 'gun', 'ahead', 'certainly', 'act', 'south', 'want', 'fire', 'word', 'clearly', 'article', 'service', 'produce', 'political']",picture early send morning skin case investment truth together weight gun ahead certainly act south want fire word clearly article service produce political,Positive,2
,Memory fine future player.,too particular chair identify popular thought person peace kind thought sit identify culture feeling already free rise science call yeah exist,5,johnsonlaura,31,142,Amazon,en,Namibia,2.4.7,Yes,particular chair identify popular thought person peace kind thought sit identify culture feeling already free rise science call yeah exist,"['particular', 'chair', 'identify', 'popular', 'thought', 'person', 'peace', 'kind', 'thought', 'sit', 'identify', 'culture', 'feeling', 'already', 'free', 'rise', 'science', 'call', 'yeah', 'exist']","['particular', 'chair', 'identify', 'popular', 'thought', 'person', 'peace', 'kind', 'thought', 'sit', 'identify', 'culture', 'feeling', 'already', 'free', 'rise', 'science', 'call', 'yeah', 'exist']",particular chair identify popular thought person peace kind thought sit identify culture feeling already free rise science call yeah exist,Positive,2
,Suddenly doctor federal project spring of cause.,strategy fight institution measure rule success employee medical buy large occur accept fund door second ok research visit,4,pstone,23,122,Flipkart,en,Bosnia and Herzegovina,3.0.6,Yes,strategy fight institution measure rule success employee medical buy large occur accept fund door second ok research visit,"['strategy', 'fight', 'institution', 'measure', 'rule', 'success', 'employee', 'medical', 'buy', 'large', 'occur', 'accept', 'fund', 'door', 'second', 'ok', 'research', 'visit']","['strategy', 'fight', 'institution', 'measure', 'rule', 'success', 'employee', 'medical', 'buy', 'large', 'occur', 'accept', 'fund', 'door', 'second', 'ok', 'research', 'visit']",strategy fight institution measure rule success employee medical buy large occur accept fund door second ok research visit,Positive,2
,Tell brother defense list second want hard.,old state guess better republican stock bank artist thousand live land hard idea next single the once pm you ready way rule indicate clear media machine leader,4,guzmanricky,128,159,Amazon,en,British Indian Ocean Territory (Chagos Archipelago),4.1.5,Yes,old state guess better republican stock bank artist thousand live land hard idea next single pm ready way rule indicate clear media machine leader,"['old', 'state', 'guess', 'better', 'republican', 'stock', 'bank', 'artist', 'thousand', 'live', 'land', 'hard', 'idea', 'next', 'single', 'pm', 'ready', 'way', 'rule', 'indicate', 'clear', 'media', 'machine', 'leader']","['old', 'state', 'guess', 'better', 'republican', 'stock', 'bank', 'artist', 'thousand', 'live', 'land', 'hard', 'idea', 'next', 'single', 'pm', 'ready', 'way', 'rule', 'indicate', 'clear', 'medium', 'machine', 'leader']",old state guess better republican stock bank artist thousand live land hard idea next single pm ready way rule indicate clear medium machine leader,Positive,2
,Little result paper seven measure leave.,face mission brother figure hear family agreement central six instead view figure exist standard major business give that individual of not too,1,jcontreras,81,143,Google Play,en,Tonga,2.2.0,No,face mission brother figure hear family agreement central six instead view figure exist standard major business give individual,"['face', 'mission', 'brother', 'figure', 'hear', 'family', 'agreement', 'central', 'six', 'instead', 'view', 'figure', 'exist', 'standard', 'major', 'business', 'give', 'individual']","['face', 'mission', 'brother', 'figure', 'hear', 'family', 'agreement', 'central', 'six', 'instead', 'view', 'figure', 'exist', 'standard', 'major', 'business', 'give', 'individual']",face mission brother figure hear family agreement central six instead view figure exist standard major business give individual,Negative,0
,Western my serious whatever miss.,become person perhaps hold too fund animal provide kitchen everyone tend religious occur someone religious night buy nice,4,bshaw,178,121,Flipkart,en,British Indian Ocean Territory (Chagos Archipelago),4.9.0,Yes,become person perhaps hold fund animal provide kitchen everyone tend religious occur someone religious night buy nice,"['become', 'person', 'perhaps', 'hold', 'fund', 'animal', 'provide', 'kitchen', 'everyone', 'tend', 'religious', 'occur', 'someone', 'religious', 'night', 'buy', 'nice']","['become', 'person', 'perhaps', 'hold', 'fund', 'animal', 'provide', 'kitchen', 'everyone', 'tend', 'religious', 'occur', 'someone', 'religious', 'night', 'buy', 'nice']",become person perhaps hold fund animal provide kitchen everyone tend religious occur someone religious night buy nice,Positive,2
,Collection century eight bed fill imagine college.,conference affect skill early relationship thought know southern parent i and technology future congress agency month high before woman,1,howard04,65,135,Flipkart,en,Iceland,5.9.8,No,conference affect skill early relationship thought know southern parent technology future congress agency month high woman,"['conference', 'affect', 'skill', 'early', 'relationship', 'thought', 'know', 'southern', 'parent', 'technology', 'future', 'congress', 'agency', 'month', 'high', 'woman']","['conference', 'affect', 'skill', 'early', 'relationship', 'thought', 'know', 'southern', 'parent', 'technology', 'future', 'congress', 'agency', 'month', 'high', 'woman']",conference affect skill early relationship thought know southern parent technology future congress agency month high woman,Negative,0
,Fight image base player.,central throw election walk tonight appear dream others door meet his boy art let imagine machine imagine do though especially white push east never,1,kristathomas,198,148,Amazon,en,Mauritania,3.1.0,Yes,central throw election walk tonight appear dream others door meet boy art let imagine machine imagine though especially white push east never,"['central', 'throw', 'election', 'walk', 'tonight', 'appear', 'dream', 'others', 'door', 'meet', 'boy', 'art', 'let', 'imagine', 'machine', 'imagine', 'though', 'especially', 'white', 'push', 'east', 'never']","['central', 'throw', 'election', 'walk', 'tonight', 'appear', 'dream', 'others', 'door', 'meet', 'boy', 'art', 'let', 'imagine', 'machine', 'imagine', 'though', 'especially', 'white', 'push', 'east', 'never']",central throw election walk tonight appear dream others door meet boy art let imagine machine imagine though especially white push east never,Negative,0
,One member animal school none.,mr interest treatment later a let stop eye will art two event economy quite yourself successful,4,christopher12,163,95,Website,en,Saint Kitts and Nevis,1.1.7,Yes,mr interest treatment later let stop eye art two event economy quite successful,"['mr', 'interest', 'treatment', 'later', 'let', 'stop', 'eye', 'art', 'two', 'event', 'economy', 'quite', 'successful']","['mr', 'interest', 'treatment', 'later', 'let', 'stop', 'eye', 'art', 'two', 'event', 'economy', 'quite', 'successful']",mr interest treatment later let stop eye art two event economy quite successful,Positive,2
,Including time reflect several.,there decision measure soon this war play woman remain early work game least outside administration reality position ability live top,5,cobbdebra,147,133,Flipkart,en,Belarus,3.6.0,No,decision measure soon war play woman remain early work game least outside administration reality position ability live top,"['decision', 'measure', 'soon', 'war', 'play', 'woman', 'remain', 'early', 'work', 'game', 'least', 'outside', 'administration', 'reality', 'position', 'ability', 'live', 'top']","['decision', 'measure', 'soon', 'war', 'play', 'woman', 'remain', 'early', 'work', 'game', 'least', 'outside', 'administration', 'reality', 'position', 'ability', 'live', 'top']",decision measure soon war play woman remain early work game least outside administration reality position ability live top,Positive,2
2024-06-08,Doctor management guy exactly toward.,throughout staff knowledge but will heavy group concern should recent across leg view know develop after exactly tv group bed party field,2,adrianjoyce,146,137,App Store,en,Northern Mariana Islands,1.8.5,Yes,throughout staff knowledge heavy group concern recent across leg view know develop exactly tv group bed party field,"['throughout', 'staff', 'knowledge', 'heavy', 'group', 'concern', 'recent', 'across', 'leg', 'view', 'know', 'develop', 'exactly', 'tv', 'group', 'bed', 'party', 'field']","['throughout', 'staff', 'knowledge', 'heavy', 'group', 'concern', 'recent', 'across', 'leg', 'view', 'know', 'develop', 'exactly', 'tv', 'group', 'bed', 'party', 'field']",throughout staff knowledge heavy group concern recent across leg view know develop exactly tv group bed party field,Negative,0
,Ability interview pull practice take follow such.,thank notice management necessary process not radio compare open second camera value talk thing rock ever summer age wide question pass quite,5,rhill,139,141,Website,en,Malaysia,5.0.6,No,thank notice management necessary process radio compare open second camera value talk thing rock ever summer age wide question pass quite,"['thank', 'notice', 'management', 'necessary', 'process', 'radio', 'compare', 'open', 'second', 'camera', 'value', 'talk', 'thing', 'rock', 'ever', 'summer', 'age', 'wide', 'question', 'pass', 'quite']","['thank', 'notice', 'management', 'necessary', 'process', 'radio', 'compare', 'open', 'second', 'camera', 'value', 'talk', 'thing', 'rock', 'ever', 'summer', 'age', 'wide', 'question', 'pas', 'quite']",thank notice management necessary process radio compare open second camera value talk thing rock ever summer age wide question pas quite,Positive,2
2024-08-09,Something various subject east list when strategy start.,guess service this different everyone information large accept create bank occur agent within interest avoid economic clearly financial personal benefit lose space,1,sherryparsons,162,163,App Store,en,Nicaragua,3.0.5,Yes,guess service different everyone information large accept create bank occur agent within interest avoid economic clearly financial personal benefit lose space,"['guess', 'service', 'different', 'everyone', 'information', 'large', 'accept', 'create', 'bank', 'occur', 'agent', 'within', 'interest', 'avoid', 'economic', 'clearly', 'financial', 'personal', 'benefit', 'lose', 'space']","['guess', 'service', 'different', 'everyone', 'information', 'large', 'accept', 'create', 'bank', 'occur', 'agent', 'within', 'interest', 'avoid', 'economic', 'clearly', 'financial', 'personal', 'benefit', 'lose', 'space']",guess service different everyone information large accept create bank occur agent within interest avoid economic clearly financial personal benefit lose space,Negative,0
,Far high benefit.,personal often beat art almost finish summer site artist sort area particularly it big argue,3,mhall,61,92,Google Play,en,Solomon Islands,3.2.0,No,personal often beat art almost finish summer site artist sort area particularly big argue,"['personal', 'often', 'beat', 'art', 'almost', 'finish', 'summer', 'site', 'artist', 'sort', 'area', 'particularly', 'big', 'argue']","['personal', 'often', 'beat', 'art', 'almost', 'finish', 'summer', 'site', 'artist', 'sort', 'area', 'particularly', 'big', 'argue']",personal often beat art almost finish summer site artist sort area particularly big argue,Neutral,1
2024-07-07,During someone art find.,action himself somebody they people fund visit situation law foreign court bill organization or subject toward call meeting green loss per,5,ppalmer,86,138,Flipkart,en,Saudi Arabia,4.2.2,Yes,action somebody people fund visit situation law foreign court bill organization subject toward call meeting green loss per,"['action', 'somebody', 'people', 'fund', 'visit', 'situation', 'law', 'foreign', 'court', 'bill', 'organization', 'subject', 'toward', 'call', 'meeting', 'green', 'loss', 'per']","['action', 'somebody', 'people', 'fund', 'visit', 'situation', 'law', 'foreign', 'court', 'bill', 'organization', 'subject', 'toward', 'call', 'meeting', 'green', 'loss', 'per']",action somebody people fund visit situation law foreign court bill organization subject toward call meeting green loss per,Positive,2
,Country little reality level realize system.,on must certainly light owner fact wife military price arm medical strong teach instead crime customer training size,4,christina65,9,116,Amazon,en,Central African Republic,1.3.0,No,must certainly light owner fact wife military price arm medical strong teach instead crime customer training size,"['must', 'certainly', 'light', 'owner', 'fact', 'wife', 'military', 'price', 'arm', 'medical', 'strong', 'teach', 'instead', 'crime', 'customer', 'training', 'size']","['must', 'certainly', 'light', 'owner', 'fact', 'wife', 'military', 'price', 'arm', 'medical', 'strong', 'teach', 'instead', 'crime', 'customer', 'training', 'size']",must certainly light owner fact wife military price arm medical strong teach instead crime customer training size,Positive,2
,Current exist despite.,then treat many turn police really level defense lose shoulder spring day contain wrong guy available air boy fact create one she analysis,3,jennifer58,131,138,App Store,en,Ecuador,4.4.0,Yes,treat many turn police really level defense lose shoulder spring day contain wrong guy available air boy fact create one analysis,"['treat', 'many', 'turn', 'police', 'really', 'level', 'defense', 'lose', 'shoulder', 'spring', 'day', 'contain', 'wrong', 'guy', 'available', 'air', 'boy', 'fact', 'create', 'one', 'analysis']","['treat', 'many', 'turn', 'police', 'really', 'level', 'defense', 'lose', 'shoulder', 'spring', 'day', 'contain', 'wrong', 'guy', 'available', 'air', 'boy', 'fact', 'create', 'one', 'analysis']",treat many turn police really level defense lose shoulder spring day contain wrong guy available air boy fact create one analysis,Neutral,1
,Third capital couple mouth.,again successful treat again quality her skin book figure drive special produce wait with young think there assume,3,louis63,91,114,Google Play,en,Uruguay,3.1.5,No,successful treat quality skin book figure drive special produce wait young think assume,"['successful', 'treat', 'quality', 'skin', 'book', 'figure', 'drive', 'special', 'produce', 'wait', 'young', 'think', 'assume']","['successful', 'treat', 'quality', 'skin', 'book', 'figure', 'drive', 'special', 'produce', 'wait', 'young', 'think', 'assume']",successful treat quality skin book figure drive special produce wait young think assume,Neutral,1
,Debate thus later.,onto take family chance easy picture evidence call meet once major road six ask meet seem population meeting material less focus hear reason resource manager environmental husband tv once,4,randytorres,190,187,App Store,en,Tuvalu,3.2.7,No,onto take family chance easy picture evidence call meet major road six ask meet seem population meeting material less focus hear reason resource manager environmental husband tv,"['onto', 'take', 'family', 'chance', 'easy', 'picture', 'evidence', 'call', 'meet', 'major', 'road', 'six', 'ask', 'meet', 'seem', 'population', 'meeting', 'material', 'less', 'focus', 'hear', 'reason', 'resource', 'manager', 'environmental', 'husband', 'tv']","['onto', 'take', 'family', 'chance', 'easy', 'picture', 'evidence', 'call', 'meet', 'major', 'road', 'six', 'ask', 'meet', 'seem', 'population', 'meeting', 'material', 'less', 'focus', 'hear', 'reason', 'resource', 'manager', 'environmental', 'husband', 'tv']",onto take family chance easy picture evidence call meet major road six ask meet seem population meeting material less focus hear reason resource manager environmental husband tv,Positive,2
